Price	Adj Close	Close	High	Low	Open	Volume
Ticker	ADP	ADP	ADP	ADP	ADP	ADP
Date						
2024-02-20	242.13916015625	252.94000244140625	254.52000427246094	252.5399932861328	253.39999389648438	1439300
2024-02-21	243.07730102539062	253.9199981689453	254.02000427246094	251.52999877929688	253.55999755859375	1146400
2024-02-22	243.88145446777344	254.75999450683594	255.75	253.50999450683594	254.07000732421875	1692900
2024-02-23	244.9440460205078	255.8699951171875	256.2099914550781	254.9600067138672	255.24000549316406	1306600
2024-02-26	242.72311401367188	253.5500030517578	256.57000732421875	253.47999572753906	256.57000732421875	1141300
2024-02-27	240.57876586914062	251.30999755859375	253.3000030517578	250.2100067138672	253.14999389648438	1241800
2024-02-28	240.81809997558594	251.55999755859375	251.91000366210938	250.14999389648438	250.55999755859375	1508100
2024-02-29	240.40643310546875	251.1300048828125	253.80999755859375	250.16000366210938	253.6999969482422	2796700
2024-03-01	239.02793884277344	249.69000244140625	250.17999267578125	248.3300018310547	249.42999267578125	2091000
2024-03-04	235.68698120117188	246.1999969482422	249.4199981689453	243.8000030517578	247.00999450683594	3661500
2024-03-05	233.5809326171875	244.0	246.66000366210938	242.5800018310547	246.35000610351562	2433300
2024-03-06	233.35113525390625	243.75999450683594	246.27999877929688	243.0800018310547	244.9600067138672	2163700
2024-03-07	235.1708984375	244.25	245.97000122070312	243.25	243.75999450683594	2445400
2024-03-08	233.38967895507812	242.39999389648438	244.30999755859375	241.47999572753906	243.89999389648438	1815900
2024-03-11	235.016845703125	244.08999633789062	244.52999877929688	241.6999969482422	243.22999572753906	1477100
2024-03-12	235.57528686523438	244.6699981689453	245.66000366210938	242.61000061035156	244.08999633789062	1978800
2024-03-13	235.13238525390625	244.2100067138672	245.25999450683594	243.07000732421875	244.6699981689453	1559000
2024-03-14	234.20806884765625	243.25	244.99000549316406	242.22999572753906	244.7100067138672	1867500
2024-03-15	233.09117126464844	242.08999633789062	243.8300018310547	238.8300018310547	242.97999572753906	11912100
2024-03-18	232.86013793945312	241.85000610351562	244.27999877929688	241.67999267578125	243.61000061035156	2001900
2024-03-19	235.05535888671875	244.1300048828125	244.32000732421875	241.2899932861328	242.57000732421875	1864200
2024-03-20	238.51190185546875	247.72000122070312	247.8699951171875	244.1199951171875	245.00999450683594	2105100
2024-03-21	239.69618225097656	248.9499969482422	250.52999877929688	247.4199981689453	248.47000122070312	1858000
2024-03-22	238.40599060058594	247.61000061035156	251.22999572753906	246.9600067138672	251.22999572753906	1612600
2024-03-25	235.1227569580078	244.1999969482422	247.75	244.0500030517578	247.4199981689453	1069600
2024-03-26	235.9604034423828	245.07000732421875	245.25	243.39999389648438	243.55999755859375	1072900
2024-03-27	239.09922790527344	248.3300018310547	249.42999267578125	246.8800048828125	246.9499969482422	1149200
2024-03-28	240.45681762695312	249.74000549316406	251.05999755859375	249.02999877929688	249.6300048828125	1302000
2024-04-01	236.19149780273438	245.30999755859375	250.61000061035156	245.02000427246094	250.3800048828125	1535500
2024-04-02	238.4541473388672	247.66000366210938	248.72999572753906	239.72000122070312	240.11000061035156	2297400
2024-04-03	236.01817321777344	245.1300048828125	248.41000366210938	244.74000549316406	247.82000732421875	2370100
2024-04-04	232.5135040283203	241.49000549316406	247.6199951171875	241.39999389648438	247.57000732421875	1690600
2024-04-05	235.7486114501953	244.85000610351562	245.9199981689453	241.27000427246094	241.9499969482422	1420100
2024-04-08	237.4720458984375	246.63999938964844	247.0	244.27000427246094	244.3699951171875	905600
2024-04-09	240.71676635742188	250.00999450683594	250.10000610351562	246.58999633789062	248.3000030517578	1158700
2024-04-10	236.6536407470703	245.7899932861328	248.7899932861328	244.3300018310547	248.33999633789062	1263200
2024-04-11	235.33457946777344	244.4199981689453	246.77000427246094	242.97000122070312	246.52999877929688	1099200
2024-04-12	234.78575134277344	243.85000610351562	244.1999969482422	242.19000244140625	242.92999267578125	1226400
2024-04-15	235.00721740722656	244.0800018310547	247.32000732421875	243.1199951171875	247.0800018310547	1383600
2024-04-16	235.13238525390625	244.2100067138672	245.52999877929688	243.42999267578125	245.00999450683594	1457700
2024-04-17	233.87106323242188	242.89999389648438	245.0800018310547	242.02999877929688	245.0800018310547	1126100
2024-04-18	232.99490356445312	241.99000549316406	245.0	241.6699981689453	244.5	1454200
2024-04-19	234.26583862304688	243.30999755859375	244.27999877929688	242.4499969482422	243.80999755859375	1638700
2024-04-22	237.15431213378906	246.30999755859375	247.5800018310547	243.9199981689453	245.10000610351562	1329000
2024-04-23	237.66461181640625	246.83999633789062	248.08999633789062	245.92999267578125	246.75999450683594	1661800
2024-04-24	237.44317626953125	246.61000061035156	246.86000061035156	244.32000732421875	244.63999938964844	1455800
2024-04-25	237.18321228027344	246.33999633789062	250.3000030517578	244.41000366210938	249.57000732421875	1224500
2024-04-26	234.03477478027344	243.07000732421875	246.7100067138672	242.9600067138672	244.10000610351562	1555500
2024-04-29	234.88204956054688	243.9499969482422	244.9499969482422	243.17999267578125	244.0500030517578	1153500
2024-04-30	232.89862060546875	241.88999938964844	244.49000549316406	241.80999755859375	244.19000244140625	1944900
2024-05-01	238.13641357421875	247.3300018310547	253.72000122070312	244.52000427246094	249.69000244140625	2782400
2024-05-02	233.033447265625	242.02999877929688	246.9600067138672	241.02999877929688	246.00999450683594	1781100
2024-05-03	232.89862060546875	241.88999938964844	243.6699981689453	239.32000732421875	243.02000427246094	1491500
2024-05-06	233.71702575683594	242.74000549316406	243.6999969482422	241.10000610351562	242.27999877929688	1108800
2024-05-07	236.00857543945312	245.1199951171875	245.22999572753906	242.10000610351562	243.05999755859375	1202500
2024-05-08	233.9095916748047	242.94000244140625	245.0500030517578	241.17999267578125	245.0500030517578	1133500
2024-05-09	236.0374298095703	245.14999389648438	245.44000244140625	242.7899932861328	243.83999633789062	1020200
2024-05-10	237.6838836669922	246.86000061035156	247.2100067138672	245.05999755859375	245.47999572753906	757900
2024-05-13	238.58895874023438	247.8000030517578	249.82000732421875	246.77000427246094	247.5	950000
2024-05-14	236.37445068359375	245.5	249.4199981689453	244.5	249.0800018310547	1279000
2024-05-15	237.45281982421875	246.6199951171875	248.25	246.0	246.4600067138672	1053800
2024-05-16	240.7649383544922	250.05999755859375	250.27000427246094	246.02999877929688	246.36000061035156	1032000
2024-05-17	242.9505615234375	252.3300018310547	252.38999938964844	249.24000549316406	250.05999755859375	1291500
2024-05-20	242.42098999023438	251.77999877929688	252.66000366210938	250.58999633789062	252.44000244140625	772900
2024-05-21	242.76759338378906	252.13999938964844	253.0	251.10000610351562	253.0	917400
2024-05-22	244.57774353027344	254.02000427246094	254.63999938964844	251.7100067138672	252.3000030517578	1272800
2024-05-23	242.14178466796875	251.49000549316406	254.36000061035156	251.05999755859375	254.36000061035156	1096100
2024-05-24	239.64804077148438	248.89999389648438	252.99000549316406	248.33999633789062	251.60000610351562	973900
2024-05-28	234.2562255859375	243.3000030517578	248.4600067138672	241.91000366210938	248.3000030517578	1483500
2024-05-29	231.16552734375	240.08999633789062	242.72999572753906	239.6199951171875	241.42999267578125	1565600
2024-05-30	231.95504760742188	240.91000366210938	241.7899932861328	239.52000427246094	240.6699981689453	1562200
2024-05-31	235.8159942626953	244.9199981689453	245.02000427246094	240.52000427246094	241.52000427246094	2721000
2024-06-03	234.94944763183594	244.02000427246094	245.52999877929688	242.0500030517578	244.1699981689453	1113300
2024-06-04	236.53810119628906	245.6699981689453	247.4600067138672	243.92999267578125	244.52000427246094	911700
2024-06-05	236.64401245117188	245.77999877929688	246.91000366210938	243.36000061035156	245.13999938964844	1298300
2024-06-06	238.75262451171875	247.97000122070312	249.5399932861328	246.22999572753906	246.30999755859375	1614300
2024-06-07	242.94093322753906	252.32000732421875	253.10000610351562	247.94000244140625	248.88999938964844	1650200
2024-06-10	237.69351196289062	246.8699951171875	252.19000244140625	243.69000244140625	251.27999877929688	2339700
2024-06-11	237.41429138183594	246.5800018310547	247.92999267578125	243.72000122070312	246.80999755859375	1478200
2024-06-12	236.98101806640625	246.1300048828125	246.91000366210938	244.0399932861328	245.9600067138672	1764500
2024-06-13	235.19017028808594	244.27000427246094	246.0399932861328	242.6199951171875	244.27000427246094	1368700
2024-06-14	234.9480438232422	242.6199951171875	243.64999389648438	240.92999267578125	242.97999572753906	1106900
2024-06-17	237.21408081054688	244.9600067138672	245.9600067138672	240.0399932861328	240.82000732421875	1347800
2024-06-18	236.68145751953125	244.41000366210938	245.5500030517578	243.50999450683594	245.13999938964844	1004800
2024-06-20	238.27928161621094	246.05999755859375	246.91000366210938	243.91000366210938	244.75999450683594	1954200
2024-06-21	240.12887573242188	247.97000122070312	248.58999633789062	246.47999572753906	246.9199981689453	3022800
2024-06-24	241.3199920654297	249.1999969482422	250.75	247.1699981689453	248.25999450683594	1303100
