Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Subgroup 2 (Ignored for Updates),Subgroup 3 (Ignored for Updates),Part Number,Description,Universal Product Code,Country of Origin,Trade Price,Cost Price,Split Price,Split Cost Price,Purchase Tax Code,Sales Tax Code,Trade Split Quantity,Minimum Pack Quantity,Est. Time (Mins),Est. Time (Hrs),Manufacturer,Supplier Quantity,Supplier Part Number,Supplier Description,Display Order,Favourite,Search Terms,Purchase Stage,Inventory Item,Notes,Unit of Measurement,Add-on Enabled,Markup (Tier 1 Name),Sell Price (Tier 1 Name),Add-on Markup (Tier 1 Name),Add-on Sell Price (Tier 1 Name),Markup (Tier 2 Name),Sell Price (Tier 2 Name),Add-on Markup (Tier 2 Name),Add-on Sell Price (Tier 2 Name)
Soprema,2-1 SOPRASMART BOARD SANDED,,,Soprema,2-1 SOPRASMART BOARD SANDED 3/16'' 3'x8',,,0,0,0,0,,,,,,,Soprema,,1,,,,,,,"Source URL: https://www.soprema.ca/en/products-systems/2-1-soprasmart-board-sanded
Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).: 5.697 kg CO2 eq / M2 Individual EPD EPD 970
Length: 2.44 m (8.01 ft)
Width: 0.914 m (3 ft)
Thickness: 7 mm (275.59 Mils)
Weight: 21.5 kg (47.4 lbs)
Units per skid: 45",,,,0,,0,,0,,0
Soprema,2-1 SOPRASMART BOARD SANDED,,,Soprema,2-1 SOPRASMART BOARD SANDED 1/8'' 3'x8',,,0,0,0,0,,,,,,,Soprema,,2,,,,,,,"Source URL: https://www.soprema.ca/en/products-systems/2-1-soprasmart-board-sanded
Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).: 5.697 kg CO2 eq / M2 Individual EPD EPD 970
Length: 2.44 m (8.01 ft)
Width: 1 m (3.28 ft)
Thickness: 0.005 m (0.02 ft)
Weight: 6.657 kg (14.68 lbs)
Units per skid: 65",,,,0,,0,,0,,0
Soprema,2-1 SOPRASMART BOARD,,,Soprema,2-1 SOPRASMART BOARD 1/8'' 3'x8',,,0,0,0,0,,,,,,,Soprema,,3,,,,,,,"Source URL: https://www.soprema.ca/en/products-systems/2-1-soprasmart-board
Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).: 5.697 kg CO2 eq / M2 Individual EPD EPD 970
Length: 2.48 m (8.14 ft)
Width: 1 m (3.28 ft)
Thickness: 0.005 m (0.02 ft)
Weight: 6.895 kg (15.2 lbs)
Units per skid: 65",,,,0,,0,,0,,0
Soprema,2-1 SOPRASMART BOARD,,,Soprema,2-1 SOPRASMART BOARD 3/16'' 3'x8',,,0,0,0,0,,,,,,,Soprema,,4,,,,,,,"Source URL: https://www.soprema.ca/en/products-systems/2-1-soprasmart-board
Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).: 5.697 kg CO2 eq / M2 Individual EPD EPD 970
Length: 2.48 m (8.14 ft)
Width: 1 m (3.28 ft)
Thickness: 6.96 mm (274.02 Mils)
Weight: 23.34 kg (51.46 lbs)
Units per skid: 45",,,,0,,0,,0,,0
Soprema,2-1 SOPRASMART FB SANDED,,,Soprema,"2-1 SOPRASMART FB SANDED 1/2"" 3'x8'",,,0,0,0,0,,,,,,,Soprema,,5,,,,,,,"Source URL: https://www.soprema.ca/en/products-systems/2-1-soprasmart-fb-sanded
Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).: Data unavailable
Length: 2.44 m (8.01 ft)
Width: 0.914 m (3 ft)
Thickness: 14.9 mm (586.61 Mils)
Weight: 13.7 kg (30.2 lbs)
Units per skid: 70",,,,0,,0,,0,,0
Soprema,2-1 SOPRASMART FB,,,Soprema,"2-1 SOPRASMART FB 1/2"" 3'x8'",,,0,0,0,0,,,,,,,Soprema,,6,,,,,,,"Source URL: https://www.soprema.ca/en/products-systems/2-1-soprasmart-fb
Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).: 5.837 kg CO2 eq / M2 Calcul SOPREMA 09967//PS0070
Length: 2.44 m (8.01 ft)
Width: 0.914 m (3 ft)
Weight: 13.7 kg (30.2 lbs)
Units per skid: 70",,,,0,,0,,0,,0
Soprema,2-1 SOPRASMART ISO HD HP SANDED,,,Soprema,"2-1 SOPRASMART ISO HD HP SANDED 1/2"" 3'x8'",,,0,0,0,0,,,,,,,Soprema,,7,,,,,,,"Source URL: https://www.soprema.ca/en/products-systems/2-1-soprasmart-iso-hd-hp-sanded
Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).: 9.049 kg CO2 eq / M2 Individual EPD EPD 970
Length: 2.44 m (8.01 ft)
Width: 1 m (3.28 ft)
Thickness: 15.2 mm (598.43 Mils)
Weight: 11.18 kg (24.65 lbs)
Units per skid: 70",,,,0,,0,,0,,0
Soprema,2-1 SOPRASMART ISO HD SANDED,,,Soprema,"2-1 SOPRASMART ISO HD SANDED 1/2"" 3'x8'",,,0,0,0,0,,,,,,,Soprema,,8,,,,,,,"Source URL: https://www.soprema.ca/en/products-systems/2-1-soprasmart-iso-hd-sanded
Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).: 9.049 kg CO2 eq / M2 Individual EPD EPD 970
Length: 2.44 m (8.01 ft)
Width: 1 m (3.28 ft)
Thickness: 0.015 m (0.05 ft)
Weight: 4.036 kg (8.9 lbs)
Units per skid: 70",,,,0,,0,,0,,0
Soprema,2-1 SOPRASMART ISO HD,,,Soprema,"2-1 SOPRASMART ISO HD 1/2"" 3'x8'",,,0,0,0,0,,,,,,,Soprema,,9,,,,,,,"Source URL: https://www.soprema.ca/en/products-systems/2-1-soprasmart-iso-hd
Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).: 9.049 kg CO2 eq / M2 Individual EPD EPD 970
Length: 2.44 m (8.01 ft)
Width: 0.914 m (3 ft)
Thickness: 14.9 mm (586.61 Mils)
Weight: 4.234 kg (9.33 lbs)
Units per skid: 70",,,,0,,0,,0,,0
Soprema,2-1 SOPRASMART ISO HD,,,Soprema,"2-1 SOPRASMART ISO HD 1/2"" 3'x16'",,,0,0,0,0,,,,,,,Soprema,,10,,,,,,,"Source URL: https://www.soprema.ca/en/products-systems/2-1-soprasmart-iso-hd
Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).: 19.669 kg CO2 eq / M2 Calcul SOPREMA 86662//PS0036
Length: 4.88 m (16.01 ft)
Width: 0.914 m (3 ft)
Thickness: 14.9 mm (586.61 Mils)
Weight: 18.5 kg (40.79 lbs)
Colour: Blue
Units per skid: 36",,,,0,,0,,0,,0
Soprema,2-1 SOPRASMART ROCK SANDED,,,Soprema,2-1 SOPRASMART ROCK 1'' 3'x16',,,0,0,0,0,,,,,,,Soprema,,11,,,,,,,"Source URL: https://www.soprema.ca/en/products-systems/2-1-soprasmart-rock-sanded
Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).: Data unavailable
Length: 4.88 m (16.01 ft)
Width: 0.914 m (3 ft)
Thickness: 0.028 m (0.09 ft)
Weight: 35.09 kg (77.36 lbs)
Units per skid: 21",,,,0,,0,,0,,0
