# Eli Lilly and Company (LLY) daily historical prices from Yahoo Finance
# Generated on: 2026-02-17T15:42:33
# Period: Last 2 years from today
Price	Close	High	Low	Open	Volume
Ticker	LLY	LLY	LLY	LLY	LLY
Date					
2024-02-20	745.263977	782.465075	742.837859	779.131571	4701100
2024-02-21	735.648132	739.188769	723.152456	727.925897	3541800
2024-02-22	759.051697	764.456286	745.865639	753.075070	3167400
2024-02-23	758.953064	766.951537	751.773250	763.351727	2394800
2024-02-26	761.300293	769.486094	758.538826	760.688827	2243800
2024-02-27	754.475586	762.316227	735.184683	744.514560	2716700
2024-02-28	747.216736	752.502981	741.318965	751.763299	2716300
2024-02-29	743.311157	746.052940	733.793954	742.719436	3905400
2024-03-01	771.359924	773.292981	753.617433	758.440173	4247500
2024-03-04	781.380249	789.763310	775.344389	785.482991	3855600
2024-03-05	766.892395	777.681891	758.696722	774.506159	3168700
2024-03-06	769.042358	777.011155	763.351720	773.500134	2518600
2024-03-07	769.427002	782.080511	750.648964	761.221516	3977400
2024-03-08	751.654907	769.269185	744.613121	769.269185	4054900
2024-03-11	724.266968	746.388382	717.609830	741.861562	3968900
2024-03-12	744.563843	745.569769	727.856891	730.766319	2701700
2024-03-13	747.414062	750.303746	735.450936	746.585592	2357500
2024-03-14	750.264343	757.434347	739.090258	754.426318	2647500
2024-03-15	743.794556	750.422137	737.423467	744.987931	3730100
2024-03-18	752.167664	759.091105	747.818361	751.792947	2521400
2024-03-19	762.148560	763.203786	744.613138	748.005815	2557100
2024-03-20	762.227417	762.523278	746.230591	759.515250	2038000
2024-03-21	759.663147	769.801688	748.439703	763.351684	3013200
2024-03-22	760.008362	766.310466	756.724217	759.406768	1981000
2024-03-25	762.503662	767.780036	757.582321	760.491689	1806600
2024-03-26	764.239441	767.622246	758.420585	763.549059	2099000
2024-03-27	767.474304	774.456919	756.822896	767.997042	2297700
2024-03-28	767.257263	782.751095	765.758155	769.584781	3209400
2024-04-01	750.086792	766.803616	743.449399	765.324252	2921300
2024-04-02	753.449829	754.544544	743.133711	744.682119	2596800
2024-04-03	765.314331	776.419432	754.879868	755.156045	3044900
2024-04-04	757.513184	777.060518	757.256751	770.787970	2354000
2024-04-05	773.421204	775.886810	752.591768	754.938970	2113400
2024-04-08	766.596497	774.397709	762.710698	774.220193	1664200
2024-04-09	746.822266	767.119153	740.322961	766.941637	2464100
2024-04-10	751.497009	754.731913	736.555472	740.944263	1700300
2024-04-11	749.140015	752.828552	740.342688	749.327403	1594800
2024-04-12	741.299377	752.996200	739.474793	749.120274	2495000
2024-04-15	740.441284	757.434223	739.208481	749.613327	2358600
2024-04-16	736.466736	742.778712	732.778198	741.338776	2569800
2024-04-17	740.441284	761.211548	734.632302	748.755301	3069400
2024-04-18	735.687622	741.851638	733.537621	739.109855	1717300
2024-04-19	716.317871	739.691833	712.136212	738.853491	3505500
2024-04-22	721.268799	727.728676	715.440072	719.700647	2354100
2024-04-23	735.431213	735.894718	721.377257	731.002994	2042000
2024-04-24	722.126770	742.285569	718.763649	742.285569	2133400
2024-04-25	714.897644	717.974716	708.418023	715.025860	2608800
2024-04-26	723.418762	727.304560	711.080859	713.526721	2009200
2024-04-29	727.057983	730.391488	719.572376	725.627920	2665600
2024-04-30	770.354126	784.556045	757.099022	764.338070	7437100
2024-05-01	766.063965	771.843332	757.680902	764.101352	2802100
2024-05-02	745.510498	766.645727	743.912790	766.645727	3205600
2024-05-03	724.858643	734.750684	720.292395	732.778199	4595100
2024-05-06	756.132568	756.438301	725.874649	727.886562	3398300
2024-05-07	767.069885	768.371733	751.625293	758.321919	2879400
2024-05-08	764.337952	770.600568	761.576485	768.381522	2089800
2024-05-09	760.935364	773.214095	758.617718	766.310397	2522100
2024-05-10	749.544250	766.724577	749.544250	763.371389	2082300
2024-05-13	747.276062	753.045557	740.204719	752.996257	1848900
2024-05-14	753.469604	753.982470	741.181060	741.181060	1956200
2024-05-15	777.515625	778.147850	753.884450	754.921818	3038300
2024-05-16	761.807678	776.982171	760.839532	775.233587	2299700
2024-05-17	760.701111	765.512294	757.836109	763.556224	1670300
2024-05-20	773.721924	774.858060	756.867951	757.638561	2188800
2024-05-21	793.470459	806.748153	781.832752	782.889837	4334500
2024-05-22	793.213623	795.159864	785.646156	791.326716	1767500
2024-05-23	798.686768	810.699891	792.472690	800.218037	3025800
2024-05-24	797.679138	800.336655	794.438780	798.242262	1778100
2024-05-28	798.103882	799.230129	778.730716	799.230129	2483500
2024-05-29	801.729614	805.760299	792.403614	793.302598	2380000
2024-05-30	805.216980	810.087436	796.375052	802.974374	1984600
2024-05-31	810.433228	816.232334	801.304763	808.911787	4472100
2024-06-03	821.221375	828.156617	808.615460	813.881109	2537200
2024-06-04	822.535339	825.380504	815.343227	823.928285	1748300
2024-06-05	821.715332	828.324543	807.746078	820.460650	2169000
2024-06-06	827.178528	836.741621	821.833888	824.797658	2109000
2024-06-07	839.725098	846.462743	826.901870	827.642812	2468800
2024-06-10	854.553894	861.103832	839.132421	843.666957	3417500
2024-06-11	855.364014	871.486934	841.938105	871.486934	4109100
2024-06-12	856.826111	861.469364	843.538527	861.469364	2594600
2024-06-13	872.662537	874.371625	851.096148	858.535242	2243400
2024-06-14	867.841431	873.927013	865.421006	871.674579	2023300
2024-06-17	874.322327	881.425500	866.270725	867.396972	2532200
2024-06-18	880.694397	884.063190	873.324465	876.288236	2437000
2024-06-20	875.290405	894.515420	859.621952	882.215759	3360000
2024-06-21	873.205872	881.198139	869.175127	874.964344	3445900
2024-06-24	879.360657	892.668019	872.277261	879.232222	2878200
2024-06-25	893.685547	898.437457	880.733883	881.000642	2830100
2024-06-26	890.376038	895.404535	886.997356	893.082939	2232100
2024-06-27	898.062012	898.585640	888.854557	892.618604	1948100
2024-06-28	894.446228	904.483505	894.446228	900.304607	3375400
2024-07-01	903.327637	905.757950	893.389128	900.759060	2546100
2024-07-02	895.760315	900.986410	867.890966	891.808620	4584600
2024-07-03	887.254150	907.407816	873.324452	899.998389	3078400
2024-07-05	903.525330	905.392520	886.068736	887.580228	2880900
2024-07-08	906.913818	917.395673	900.986277	906.805161	2364600
2024-07-09	921.238770	923.708579	909.660334	917.830421	2416000
2024-07-10	928.430786	934.269388	921.732636	925.259530	2683300
2024-07-11	922.858948	931.493390	907.526354	922.809564	2855100
2024-07-12	936.946716	939.307808	924.726107	925.684364	2315100
2024-07-15	938.981873	954.432952	936.640498	944.652544	2358700
2024-07-16	930.228882	944.840311	927.047797	944.208026	2111800
2024-07-17	894.653748	913.829318	891.739361	899.020353	4200600
2024-07-18	838.648315	898.881985	826.556081	896.076316	7649600
2024-07-19	847.114807	869.580240	842.698818	857.181751	3782200
2024-07-22	855.512207	863.860174	846.472742	854.356353	2904500
2024-07-23	867.683472	876.999585	853.645115	859.493606	2087700
2024-07-24	849.495789	867.732881	843.953551	861.963380	2726100
2024-07-25	811.272888	841.335393	796.641744	836.771191	5468000
2024-07-26	794.903137	812.083144	791.623223	802.065584	4173900
2024-07-29	798.034851	814.809836	794.290642	804.179768	2473700
2024-07-30	780.667114	811.974415	766.440991	805.335537	3848600
2024-07-31	794.557312	801.344342	782.524410	790.506789	2961700
2024-08-01	822.387085	830.735051	810.275133	823.552828	4060700
2024-08-02	794.744995	810.285013	777.515606	806.807503	3515900
2024-08-05	765.897705	783.364188	738.522319	748.846133	4661800
2024-08-06	783.601196	796.533142	775.519989	779.610007	3437600
2024-08-07	762.815369	777.080988	753.805510	768.900952	4407700
2024-08-08	835.101685	867.179595	815.274051	864.433138	9434900
2024-08-09	880.911682	897.518675	849.614271	849.614271	6587600
2024-08-12	873.699829	893.794160	872.336490	893.290370	4206100
2024-08-13	897.083984	903.643811	879.578008	883.282721	3506800
2024-08-14	920.428650	923.096056	892.875446	899.010474	3562900
2024-08-15	921.615845	927.927609	910.159687	925.988552	3080000
2024-08-16	912.256958	926.285281	909.556178	918.459913	2364900
2024-08-19	911.950317	916.095504	906.697116	912.256999	2374600
2024-08-20	939.809082	956.656958	920.557265	922.130225	4961500
2024-08-21	941.787720	946.269296	929.124640	945.398704	2617000
2024-08-22	943.964111	962.127777	937.998640	941.797533	3183700
2024-08-23	942.549438	950.226447	933.022437	945.220571	2063300
2024-08-26	940.363159	944.785319	932.686150	939.047368	2166000
2024-08-27	944.270874	962.078346	939.789358	942.312071	2912900
2024-08-28	938.790100	948.089581	933.170861	943.944395	1701800
2024-08-29	930.143616	947.278368	925.988527	944.785303	1762800
2024-08-30	949.751648	950.721147	930.450317	934.892283	2555100
2024-09-03	946.298950	959.278613	941.401883	947.525677	2529400
2024-09-04	936.188293	943.796044	927.977082	939.591502	1891700
2024-09-05	902.987305	932.913753	896.477667	931.093407	3201100
2024-09-06	893.054626	917.975196	883.448463	907.943639	3440000
2024-09-09	898.555176	905.638566	886.337235	902.809171	2405900
2024-09-10	891.610229	905.321968	885.427079	904.332664	1930400
2024-09-11	911.040100	911.683111	887.603488	892.500554	2721100
2024-09-12	925.019104	927.591270	908.804396	914.423636	2510800
