# Costco Wholesale Corporation (COST) daily historical prices from Yahoo Finance
# Generated on: 2026-02-17T15:42:33
# Period: Last 2 years from today
Price	Close	High	Low	Open	Volume
Ticker	COST	COST	COST	COST	COST
Date					
2024-02-20	717.805603	726.974907	715.847134	720.120206	2407300
2024-02-21	715.164673	720.871943	712.444551	717.805647	1564200
2024-02-22	726.421082	728.053119	717.963925	717.963925	1801600
2024-02-23	729.912659	734.442916	729.111461	732.078868	1265800
2024-02-26	737.252014	738.666531	730.971029	733.938435	1707000
2024-02-27	736.619019	738.528043	733.275736	737.894981	1471300
2024-02-28	739.833801	743.711195	735.135408	735.135408	1365000
2024-02-29	735.807922	744.383709	734.917676	743.256080	3361200
2024-03-01	741.297607	743.216532	731.218316	732.395389	1678100
2024-03-04	750.931763	756.431353	745.481617	746.876332	2133400
2024-03-05	751.693420	760.912169	748.676570	760.071368	2353400
2024-03-06	764.839050	766.738173	755.363116	756.530349	2400600
2024-03-07	777.054932	778.528734	768.568133	770.645293	4187900
2024-03-08	717.677063	748.003927	717.222039	747.835791	8590200
2024-03-11	706.321899	712.177565	703.285246	711.989627	3762500
2024-03-12	728.874146	732.009688	709.121079	709.289275	3727400
2024-03-13	726.223145	728.498144	718.685938	727.014441	2270300
2024-03-14	723.997620	732.632752	721.069757	730.308308	1826100
2024-03-15	717.746277	724.561434	715.362427	724.561434	3390700
2024-03-18	723.592041	725.372533	718.132055	718.211142	1595200
2024-03-19	724.215149	727.360592	722.088544	723.839273	1322700
2024-03-20	732.672363	734.027534	721.208318	723.057996	1398700
2024-03-21	734.492371	744.136441	733.048211	735.422160	2106900
2024-03-22	726.816650	736.698103	726.401230	736.342029	1794100
2024-03-25	723.018433	726.183618	718.844250	723.057976	1604700
2024-03-26	723.038147	726.717762	722.286394	723.057949	1353500
2024-03-27	724.126099	727.894701	719.843126	726.025221	1246700
2024-03-28	724.670227	726.915584	720.407056	725.876943	1713300
2024-04-01	713.404053	725.303381	712.375374	723.809777	1600700
2024-04-02	703.571960	712.177450	700.703504	712.177450	2326700
2024-04-03	698.022949	703.087318	689.694446	702.266318	3205500
2024-04-04	697.221802	709.338711	696.568939	701.069553	2252400
2024-04-05	705.965698	709.101301	698.349404	698.369146	1552900
2024-04-08	704.076416	708.359389	703.146626	705.757958	1459000
2024-04-09	710.782776	711.237739	699.298869	708.458272	1386400
2024-04-10	714.729553	716.114307	701.247631	703.275347	1832000
2024-04-11	724.393188	725.817546	716.282328	723.552448	2107800
2024-04-12	723.364563	724.937315	718.646368	720.090527	1481800
2024-04-15	710.476196	732.949323	710.149765	727.439832	1808000
2024-04-16	708.191284	714.650368	704.393038	710.495987	1412300
2024-04-17	707.419800	715.936242	703.275320	715.144945	1376700
2024-04-18	703.522583	711.138938	701.860843	707.419779	1846400
2024-04-19	701.801392	707.103142	694.372976	705.283167	2190400
2024-04-22	707.686890	710.456457	698.497782	707.093372	1437100
2024-04-23	714.828308	716.401060	708.517620	711.218000	1176200
2024-04-24	716.025208	717.548454	708.309964	711.890629	1206600
2024-04-25	715.163269	720.542888	707.782371	720.542888	1613600
2024-04-26	722.415405	724.169004	708.366960	708.366960	1524400
2024-04-29	719.591797	725.456860	713.538434	722.762122	1526900
2024-04-30	716.193726	718.779498	710.447483	718.779498	1734800
2024-05-01	715.519958	723.089097	708.684006	715.569543	1609100
2024-05-02	725.645203	727.587042	713.944766	718.026540	1826900
2024-05-03	736.998779	740.555441	726.546604	727.468030	2323300
2024-05-06	749.432373	749.917818	739.554834	742.636028	1773300
2024-05-07	764.154602	765.075967	748.560631	751.651682	1897800
2024-05-08	756.327881	766.215338	755.634423	762.856773	1511900
2024-05-09	771.812866	772.476694	756.526017	756.714257	1716200
2024-05-10	779.887329	780.144927	770.941070	771.812912	1652700
2024-05-13	767.959045	782.156064	766.403603	780.689813	1596800
2024-05-14	770.683411	773.566388	764.273402	767.740932	1327700
2024-05-15	779.738586	782.334276	771.297668	771.297668	1661700
2024-05-16	785.712769	797.096167	780.521389	784.464448	2000000
2024-05-17	788.427307	790.200680	783.275535	786.247704	1309100
2024-05-20	785.643311	795.530706	785.038984	787.872437	1347100
2024-05-21	793.499817	794.005095	784.652667	788.189556	1375700
2024-05-22	794.421143	798.869479	790.606883	792.618019	1192800
2024-05-23	788.952332	800.553658	788.050740	796.838447	1519200
2024-05-24	802.218201	809.291978	791.676953	793.202645	1623000
2024-05-28	805.626221	807.726549	797.254599	802.228048	1986300
2024-05-29	799.037964	805.893750	798.810056	799.533325	2282800
2024-05-30	807.776123	811.897504	800.801394	802.683792	2277800
2024-05-31	802.376648	804.209461	780.887864	801.524641	4360700
2024-06-03	807.825684	820.229495	799.642302	803.476395	2008700
2024-06-04	819.714294	820.328538	805.497384	807.419388	1754500
2024-06-05	826.560059	826.649250	814.057141	823.201494	2080000
2024-06-06	834.822876	841.213052	826.580053	827.669824	1735000
2024-06-07	837.735535	842.490993	834.476017	838.825306	1593600
2024-06-10	840.470032	841.599410	834.921946	839.320759	1401600
2024-06-11	841.430908	843.045791	832.464878	841.361550	1690500
2024-06-12	839.944946	847.801373	835.783897	844.403200	1838300
2024-06-13	838.112000	839.944813	829.779986	839.944813	1322400
2024-06-14	847.731934	848.237212	834.099575	835.595577	1395500
2024-06-17	859.858459	862.483900	845.453367	846.562972	1904900
2024-06-18	862.672058	865.852301	859.650365	859.947570	1763800
2024-06-20	854.439148	865.743271	852.576584	863.226856	1944600
2024-06-21	840.440186	858.927049	839.786335	858.600154	3833100
2024-06-24	840.291626	842.738743	833.703354	842.114583	1722900
2024-06-25	847.573425	847.751748	837.160917	841.440848	1564200
2024-06-26	848.891113	851.764174	842.173982	844.809279	1505300
2024-06-27	842.728699	850.367194	840.767087	849.752951	1254900
2024-06-28	842.104675	849.287417	838.954183	843.352996	2131700
2024-07-01	837.824707	848.058893	832.702686	845.582085	1989000
2024-07-02	851.387695	852.378418	835.258756	837.844529	1377900
2024-07-03	854.657104	855.509172	847.068193	847.068193	814400
2024-07-05	877.453613	878.711851	850.753617	856.539465	2620700
2024-07-08	872.668457	879.712483	869.517905	878.563210	1611300
2024-07-09	878.622681	888.351588	874.778671	875.650512	1356800
2024-07-10	876.106262	882.010993	872.529767	879.167623	1755800
2024-07-11	838.736206	882.496424	838.666848	882.496424	6021100
2024-07-12	835.080383	842.114492	830.602296	842.005527	3288400
2024-07-15	840.856262	849.941235	836.833929	839.003615	2064000
2024-07-16	842.877502	843.343113	833.534991	839.935023	1687600
2024-07-17	838.429077	842.065014	834.832748	840.143009	1783100
2024-07-18	831.583069	847.365277	817.455351	841.549739	2338500
2024-07-19	830.354614	841.004886	827.808449	828.749648	1984400
2024-07-22	839.558411	841.708323	830.820227	837.903920	1920200
2024-07-23	844.204956	846.652073	837.735566	841.024774	1744100
2024-07-24	823.112549	838.151718	821.804787	836.764681	2511300
2024-07-25	808.380371	828.888347	806.725881	828.036280	2183700
2024-07-26	811.168274	815.811512	802.645882	811.565152	1441500
2024-07-29	809.144409	817.260054	807.686002	816.089344	1320400
2024-07-30	803.657898	815.533706	796.960997	811.565173	2017200
2024-07-31	815.533752	818.986358	804.888179	813.966165	2135000
2024-08-01	810.463928	817.686628	803.310624	812.110843	1861400
2024-08-02	815.613098	823.758475	798.677373	809.779349	2598500
2024-08-05	795.522400	804.441670	786.761844	791.722512	2820900
2024-08-06	810.453979	826.536485	798.726955	798.726955	2476300
2024-08-07	803.925720	827.270649	802.893923	817.627081	1702000
2024-08-08	832.826599	836.130421	813.995925	815.037653	2345000
2024-08-09	848.204651	851.022337	831.040754	831.903905	1710600
2024-08-12	856.776733	863.404178	845.694619	850.506442	1748200
2024-08-13	858.016846	861.221417	849.424936	858.116035	1484100
2024-08-14	855.923523	859.911858	851.746619	858.066505	1341500
2024-08-15	870.448242	873.404841	862.163952	866.003504	1923800
2024-08-16	863.741394	870.448165	861.786860	870.448165	1516300
2024-08-19	865.487610	866.757570	861.866359	863.741506	1318400
2024-08-20	869.307312	869.862904	864.316852	865.140340	1104600
