Source File,Category,Product/Service,Volume,Unit,Unit Price,Line Total
Garland  2Ply Torch - Salthill.xlsx,Material,"1/2"" DENSDECK PRIME",100,SHEETS,36.5,3650
Garland  2Ply Torch - Salthill.xlsx,Material,INSUL-LOCK FOAM ADHESIVE,11,BOX,880,9680
Garland  2Ply Torch - Salthill.xlsx,Material,HPR BASE (97 FT2) - FIELD,34,ROLLS,538,18292
Garland  2Ply Torch - Salthill.xlsx,Material,PRO-STOP FR PRIMER,1,PAILS,939,939
Garland  2Ply Torch - Salthill.xlsx,Material,SA BASE IV - STRIPPING (97 FT2),5,ROLLS,515,2575
Garland  2Ply Torch - Salthill.xlsx,Material,STRESSPLY IV PLUS CAP (75 FT2) - FIELD,44,ROLLS,599,26356
Garland  2Ply Torch - Salthill.xlsx,Material,STRESSPLY IV PLUS CAP (75 FT2) - STRIPPING,6,ROLLS,599,3594
Garland  2Ply Torch - Salthill.xlsx,Material,SOPRADRAIN 10-G (300 FT2),11,ROLLS,226.5,2491.5
Garland  2Ply Torch - Salthill.xlsx,Material,CANT,285,FEET,2.5,712.5
Garland  2Ply Torch - Salthill.xlsx,Material,TERM BAR,29,LENGTH,12.5,362.5
Garland  2Ply Torch - Salthill.xlsx,Material,FIRETAPE,24,ROLLS,28,672
Garland  2Ply Torch - Salthill.xlsx,Material,SEAL-TITE SINGLE PART STPE PITCH POCKET (4),1,BAGS,508,508
Garland  2Ply Torch - Salthill.xlsx,Material,GARLA-FLEX (30 FT2 / PL) - VERTICAL SEAMS,3,PAILS,542,1626
Garland  2Ply Torch - Salthill.xlsx,Material,"6"" GARMESH - 150' - VERTICAL SEAMS",1,ROLLS,105,105
Garland  2Ply Torch - Salthill.xlsx,Material,24 GAUGE PREFINISHED,10,SHEETS,75,750
Garland  2Ply Torch - Salthill.xlsx,Material/Service,FREIGHT - MATERIALS,1,LOADS,1150,1150
Garland  2Ply Torch - Salthill.xlsx,Service,Set up (Roof Load) - 5 man,1,days,2060,2060
Garland  2Ply Torch - Salthill.xlsx,Service,Demolition - Fence + Insulation + Rubber Mat Store,2,days,2060,4120
Garland  2Ply Torch - Salthill.xlsx,Service,Torch Base,1.25,days,2060,2575
Garland  2Ply Torch - Salthill.xlsx,Service,Torch Cap,1.25,days,2060,2575
Garland  2Ply Torch - Salthill.xlsx,Service,Crane,6,Hrs,295,1770
Garland  2Ply Torch - Salthill.xlsx,Service,Dump + Rental Bin or Truck,2,Loads,1150,2300
Garland  2Ply Torch - Salthill.xlsx,Service,Sub Trade - Panels (Addendum 3),1,L/S,15000,15000
Garland  2Ply Torch - Salthill.xlsx,Service,Sub Trade - Glazing (Addendum 4),1,L/S,5000,5000
Garland  2Ply Torch - Salthill.xlsx,Service,P-Can + Fence,1,Month,950,950
