source_name,SOPRA-ISO PLUS
source_url,https://www.soprema.ca/en/products-systems/sopra-iso-plus

20 Products,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid,Format
SOPRA-ISO PLUS Product code: 40418 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 2.997 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 1 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 96,Format
SOPRA-ISO PLUS Product code: 40419 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 4.495 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 1.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 64,Format
SOPRA-ISO PLUS Product code: 40420 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 5.993 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 2 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 48,Format
SOPRA-ISO PLUS Product code: 40452 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 7.400 kg CO2 eq / M2 Calcul SOPREMA 40452/BD/BD0038,Length 4 ft,Width 4 ft,Thickness 2.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 38,Format
SOPRA-ISO PLUS Product code: 40426 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 8.990 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 3 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 32,Format
SOPRA-ISO PLUS Product code: 40802 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 10.488 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 3.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 26,Format
SOPRA-ISO PLUS Product code: 40889 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 11.986 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 4 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 24,Format
SOPRA-ISO PLUS Product code: 41059 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 13.484 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 4.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 20,Format
"SOPRA-ISO PLUS 5.0"" 4'X4' Product code: 41545 BD",Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 14.983 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 18,Format
SOPRA-ISO PLUS Product code: 41553 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 17.979 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 6 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 16,Format
SOPRA-ISO PLUS Product code: 40643 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 2.997 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 1 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 48,Format
SOPRA-ISO PLUS Product code: 40398 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 4.495 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 1.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 32,Format
SOPRA-ISO PLUS Product code: 40541 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 5.993 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 2 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 24,Format
SOPRA-ISO PLUS Product code: 40399 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 7.491 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 2.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 19,Format
SOPRA-ISO PLUS Product code: 40397 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 8.990 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 3 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 16,Format
SOPRA-ISO PLUS Product code: 40311 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 10.488 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 3.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 13,Format
SOPRA-ISO PLUS Product code: 41329 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 11.986 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 4 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 12,Format
SOPRA-ISO PLUS Product code: 41542 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 13.484 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 4.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 10,Format
SOPRA-ISO PLUS Product code: 41546 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 14.983 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 9,Format
"SOPRA-ISO PLUS 6.0"" 4'X8' Product code: 41554 BD",Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 17.979 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 6 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 8,Format
