source_name,SOPRA-ISO SL
source_url,https://www.soprema.ca/en/products-systems/sopra-iso-sl

14 Products,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid,Format
SOPRA-ISO SL with shiplap edges Product code: 41314 MB,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 6.429 kg CO2 eq / M2 Sector EPD EPD10465,Length 3.95 ft,Width 3.95 ft,Thickness 3 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Ship lapped 4 sides,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 32,Format
SOPRA-ISO SL with shiplap edges Product code: 44354 MB,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 7.500 kg CO2 eq / M2 Sector EPD EPD10465,Length 3.95 ft,Width 3.95 ft,Thickness 3.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Ship lapped 4 sides,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 26,Format
SOPRA-ISO SL with shiplap edges Product code: 41681 MB,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 8.572 kg CO2 eq / M2 Sector EPD EPD10465,Length 3.95 ft,Width 3.95 ft,Thickness 4 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Ship lapped 4 sides,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 24,Format
SOPRA-ISO SL with shiplap edges Product code: 44348 MB,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 9.643 kg CO2 eq / M2 Sector EPD EPD10465,Length 3.95 ft,Width 3.95 ft,Thickness 4.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Ship lapped 4 sides,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 20,Format
SOPRA-ISO with shiplap edges Product code: 41752 MB,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 10.714 kg CO2 eq / M2 Sector EPD EPD10465,Length 3.95 ft,Width 3.95 ft,Thickness 5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Ship lapped 4 sides,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 18,Format
SOPRA-ISO SL with shiplap edges Product code: 44395 MB,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 11.786 kg CO2 eq / M2 Sector EPD EPD10465,Length 3.95 ft,Width 3.95 ft,Thickness 5.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Ship lapped 4 sides,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 16,Format
SOPRA-ISO SL with shiplap edges Product code: 44384 MB,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 12.857 kg CO2 eq / M2 Sector EPD EPD10465,Length 3.95 ft,Width 3.95 ft,Thickness 6 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Ship lapped 4 sides,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 16,Format
SOPRA-ISO SL with shiplap edges Product code: 41315 MB,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 6.429 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 3.95 ft,Thickness 3 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Ship lapped 4 sides,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 16,Format
SOPRA-ISO SL with shiplap edges Product code: 44355 MB,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 7.500 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 3.95 ft,Thickness 3.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Ship lapped 4 sides,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 13,Format
