source_name,SOPRA-ISO
source_url,https://www.soprema.ca/en/products-systems/sopra-iso

22 Products,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid,Format
SOPRA-ISO Product code: 40400 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 2.143 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 1 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 96,Format
SOPRA-ISO Product code: 40405 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.214 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 1.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 64,Format
SOPRA-ISO Product code: 40410 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 4.286 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 2 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 48,Format
SOPRA-ISO Product code: 40415 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 5.357 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 2.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 38,Format
SOPRA-ISO Product code: 40436 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 6.429 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 3 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 32,Format
SOPRA-ISO Product code: 40433 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 7.500 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 3.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 26,Format
SOPRA-ISO Product code: 40431 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 8.572 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 4 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 24,Format
SOPRA-ISO Product code: 40288 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 9.643 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 4.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 20,Format
SOPRA-ISO Product code: 41457 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 10.714 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 18,Format
SOPRA-ISO Product code: 41461 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 11.786 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 5.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 16,Format
SOPRA-ISO Product code: 41387 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 12.857 kg CO2 eq / M2 Sector EPD EPD10465,Length 4 ft,Width 4 ft,Thickness 6 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 16,Format
SOPRA-ISO Product code: 40465 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 2.143 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 1 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 48,Format
SOPRA-ISO Product code: 40438 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.214 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 1.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 32,Format
SOPRA-ISO Product code: 40421 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 4.286 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 2 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 24,Format
SOPRA-ISO Product code: 40423 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 5.357 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 2.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 19,Format
SOPRA-ISO Product code: 44548 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 6.429 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 3 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 16,Format
SOPRA-ISO Product code: 40521 BD,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 7.500 kg CO2 eq / M2 Sector EPD EPD10465,Length 8 ft,Width 4 ft,Thickness 3.5 in,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish Straight board,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 13,Format
