source_name,SOPRAPLY TRAFFIC CAP
source_url,https://www.soprema.ca/en/products-systems/sopraply-traffic-cap

15 Products,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid,Format
SOPRAPLY TRAFFIC CAP FR Product code: 03640 NO5,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 38 kg (83.78 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Black,Compressive strength (in kPa),Temperature grade,Fire resistant Fr,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP BLACK Product code: 02543 NOI,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 41 kg (90.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Black Granulate,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP Product code: 02573 BLE,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 41 kg (90.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Blue,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP Product code: 02503 BRU,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 41 kg (90.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Brown,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP FR Product code: 03600 BTA,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 38 kg (83.78 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Brown,Compressive strength (in kPa),Temperature grade,Fire resistant Fr,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP Product code: 02556 VEF,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 41 kg (90.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Flame green,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP FR Product code: 03630 GR9,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 38 kg (83.78 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Grey,Compressive strength (in kPa),Temperature grade,Fire resistant Fr,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP GREY Product code: 02533 GRI,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 41 kg (90.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Grey,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP Product code: 02541 NP5,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 41 kg (90.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Light Black,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP FR Product code: 03650 BL5,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 38 kg (83.78 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Light Grey,Compressive strength (in kPa),Temperature grade,Fire resistant Fr,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP Product code: 02563 BLA,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 41 kg (90.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Light Grey,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP RED Product code: 02523 ROU,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 41 kg (90.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Red,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP FR Product code: 03620 RO4,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 38 kg (83.78 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Red,Compressive strength (in kPa),Temperature grade,Fire resistant Fr,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP SIENA Product code: 02513 SIE,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 41 kg (90.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Sienna,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 30,Format
SOPRAPLY TRAFFIC CAP FR Product code: 03610 SI4,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.908 kg CO2 eq / M2 Individual EPD EPD 968,Length 8 m (26.25 ft),Width 1 m (3.28 ft),Thickness 4 mm (157.48 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 38 kg (83.78 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Sienna,Compressive strength (in kPa),Temperature grade,Fire resistant Fr,Units per skid 30,Format
