estimate_row,description,estimate_quantity,estimate_unit,estimated_unit_price,actual_quantity,actual_unit_price,actual_total,source_invoice
7,"1/2"" DENSDECK PRIME",100,SHEETS,36.5,,,,
8,INSUL-LOCK FOAM ADHESIVE,11,BOX,880,,,,
10,HPR BASE (97 FT2) - FIELD,34,ROLLS,538,,,,
11,PRO-STOP FR PRIMER,1,PAILS,939,,,,
12,SA BASE IV - STRIPPING (97 FT2),5,ROLLS,515,,,,
14,STRESSPLY IV PLUS CAP (75 FT2) - FIELD,44,ROLLS,599,,,,
15,STRESSPLY IV PLUS CAP (75 FT2) - STRIPPING,6,ROLLS,599,,,,
17,SOPRADRAIN 10-G (300 FT2),11,ROLLS,226.5,,,,
19,CANT,285,FEET,2.5,,,,
20,TERM BAR,29,LENGTH,12.5,,,,
21,FIRETAPE,24,ROLLS,28,,,,
26,SEAL-TITE SINGLE PART STPE PITCH POCKET (4),1,BAGS,508,,,,
27,TUFF STUFF MS SILICONE SEALANT (24 / CASE),,CASE,790,,,,
28,DRAINS C/W U-FLOW,,EACH,550,,,,
29,GARLA-FLEX (30 FT2 / PL) - VERTICAL SEAMS,3,PAILS,542,,,,
30,"6"" GARMESH - 150' - VERTICAL SEAMS",1,ROLLS,105,,,,
34,24 GAUGE PREFINISHED,10,SHEETS,75,,,,
35,26 GAUGE GALV,,SHEETS,50,,,,
36,FREIGHT - MATERIALS,1,LOADS,1150,,,,
37,MISC,31.8,SQS,30,,,,
44,Set up (Roof Load) - 5 man,1,days,2060,,,,
45,Demolition - Fence + Insulation + Rubber Mat Store,2,days,2060,,,,
46,Install Densdeck - Adh,0.75,days,2060,,,,
47,Install Firetape,0.5,days,2060,,,,
48,Torch Base,1.25,days,2060,,,,
49,Torch Cap,1.25,days,2060,,,,
50,Re-Install Insulation,0.75,days,2060,,,,
51,Re-Install Rubber Matt + Fencing,0.5,days,2060,,,,
52,Firewatch (2 men x 2 hrs each),8,days,175,,,,
53,Metal Fabrication,285,feet,3.25,,,,
54,Metal Install,285,feet,4,,,,
55,Carpentry (Cant),285,feet,1.75,,,,
56,MB Stripping,8,sqs,350,,,,
57,Supervision %,,,0.06,,,,
58,travel / 3 men / round trip,,trips,496,,,,
59,Overtime,,,0.1,,,,
67,Truck & Fuel (10 Roofing / 3 Metal),13,Days,150,,,,
68,Room & Board (5 Men),,Man Days,110,,,,
69,Crane,6,Hrs,295,,,,
70,Dump + Rental Bin or Truck,2,Loads,1150,,,,
71,"5 Year ""Contractor"" Warranty (3%)",,L/S ,,,,,
72,Sub Trade - Panels (Addendum 3),1,L/S ,15000,,,,
73,Sub Trade - Glazing (Addendum 4),1,L/S ,5000,,,,
74,Safety Misc,31.8,SQS,10,,,,
75,"TEC (Truck, Equipment, Communications)",31.8,SQS,10,,,,
76,Propane (15 sqs / bottle / layer) (10 sqs - winter),6,UNITS,115,,,,
77,P-Can + Fence,1,Month,950,,,,
78,,,days,1200,,,,
79,Bonding,,1000's,10,,,,
