# NextEra Energy, Inc. (NEE) daily historical prices from Yahoo Finance
# Generated on: 2026-02-17T15:42:34
# Period: Last 2 years from today
Price	Close	High	Low	Open	Volume
Ticker	NEE	NEE	NEE	NEE	NEE
Date					
2024-02-20	53.344208	54.013247	52.816512	53.466709	13014600
2024-02-21	53.805935	54.032091	53.372473	53.730552	9322100
2024-02-22	53.400742	53.787092	53.070934	53.513821	10426000
2024-02-23	53.504398	54.145170	53.249974	53.523245	10563900
2024-02-26	52.444111	53.185840	52.168339	53.157313	12753800
2024-02-27	52.833988	53.242891	52.101767	52.719873	12421800
2024-02-28	52.339504	52.986141	52.025694	52.634292	13240400
2024-02-29	52.482140	53.119268	52.263425	52.767423	19993600
2024-03-01	52.501163	52.891047	51.616793	52.548710	15398200
2024-03-04	52.272938	52.368030	51.302983	52.092258	11674600
2024-03-05	52.681835	53.737371	52.253913	52.301459	16026100
2024-03-06	52.805462	54.117754	52.548709	53.233384	11074900
2024-03-07	53.490139	53.699346	52.805464	53.328482	10227300
2024-03-08	54.973595	55.306421	53.547191	53.937075	12735600
2024-03-11	55.030647	55.287400	54.098731	54.745367	9681500
2024-03-12	54.345978	55.154272	53.775414	54.840461	9634400
2024-03-13	56.618713	57.407988	56.057661	56.105207	17495300
2024-03-14	56.618713	57.284369	56.209811	56.295395	16996100
2024-03-15	57.132217	57.179763	55.991094	56.295393	32424500
2024-03-18	57.217800	58.140209	56.523618	57.132219	17073700
2024-03-19	58.263832	58.377943	57.303385	57.427008	11433900
2024-03-20	59.148201	59.347897	58.349415	58.434999	14564500
2024-03-21	58.349419	60.279817	58.282853	59.148205	18090300
2024-03-22	58.748806	59.423973	58.691752	59.167220	10046300
2024-03-25	59.538090	59.566617	58.396966	58.958018	11423500
2024-03-26	58.415985	59.823370	58.292362	59.547597	13829600
2024-03-27	60.660191	60.726756	58.977034	59.110164	13409000
2024-03-28	60.774296	61.107125	60.279809	60.546070	12830800
2024-04-01	60.270309	60.907438	59.680727	60.774304	13175200
2024-04-02	59.794842	60.232271	59.300355	60.165706	9905300
2024-04-03	59.481030	59.899444	58.824885	59.614160	10551400
2024-04-04	60.603134	60.840868	59.880425	60.241778	10690100
2024-04-05	61.031055	61.202224	59.813859	59.956497	10278100
2024-04-08	61.677692	61.734746	60.793322	61.002529	8054900
2024-04-09	62.172176	62.628629	61.611128	61.953465	9188000
2024-04-10	60.869396	61.088107	59.908949	60.384417	10783400
2024-04-11	60.802826	61.611123	60.213247	61.458970	12145600
2024-04-12	59.985031	61.154678	59.861408	60.974005	9039500
2024-04-15	59.671211	61.173691	59.243289	60.412940	11147100
2024-04-16	58.672733	59.509558	58.301869	59.423973	11594100
2024-04-17	60.660191	60.783810	58.881938	59.186241	15653700
2024-04-18	60.869396	61.230749	60.032572	60.717243	10135000
2024-04-19	61.145172	61.715732	60.527062	61.069096	13419400
2024-04-22	62.105610	62.276779	60.783810	61.420935	14747200
2024-04-23	62.951935	63.874344	61.905907	62.039037	14349200
2024-04-24	63.294285	63.807791	62.020034	62.676182	12149600
2024-04-25	63.617596	63.826803	62.295796	62.761752	11418500
2024-04-26	62.752243	63.997974	62.524021	63.921897	9982800
2024-04-29	64.112091	64.578055	63.674661	63.731715	9795800
2024-04-30	63.684166	64.178649	63.018507	63.617601	10042600
2024-05-01	65.243706	65.481440	63.465453	63.589079	13991100
2024-05-02	65.471916	65.633574	64.349812	65.500443	10815900
2024-05-03	66.698631	66.831762	65.909353	66.460897	12687500
2024-05-06	67.754173	67.801723	66.812749	66.907841	14042100
2024-05-07	68.419823	68.505411	67.811224	68.172585	13621100
2024-05-08	69.275673	69.313711	67.972895	68.182095	9915000
2024-05-09	70.920784	71.063426	69.018913	69.418304	16627900
2024-05-10	70.169540	71.519867	70.036410	71.196553	12046700
2024-05-13	70.920784	71.006365	69.979352	70.502370	7685500
2024-05-14	71.719566	71.900246	70.996860	71.263121	8176600
2024-05-15	73.269608	73.402738	72.242595	72.242595	12470600
2024-05-16	72.661003	73.611939	72.328170	73.279106	10414200
2024-05-17	72.356712	72.794149	71.833702	72.603958	9490300
2024-05-20	72.147491	72.451791	71.862208	72.261599	7179700
2024-05-21	73.174500	73.184011	71.748096	72.147494	6420100
2024-05-22	72.575417	73.393222	72.423271	72.661005	8773600
2024-05-23	71.624489	72.233087	70.958837	72.233087	9097800
2024-05-24	72.851181	73.317137	71.567419	71.719565	7601100
2024-05-28	73.726051	74.420238	72.584931	72.860704	11986600
2024-05-29	72.917755	73.126962	72.423272	73.003336	6896300
2024-05-30	74.353661	74.420226	72.851181	73.098426	21762300
2024-05-31	76.093872	76.521797	74.296604	74.448757	16196000
2024-06-03	74.375893	76.328368	74.194042	76.089095	15410500
2024-06-04	73.839928	74.452468	73.246526	74.280191	8484300
2024-06-05	73.744217	74.012203	73.313520	73.744217	9264600
2024-06-06	73.409225	74.433317	73.342229	73.638934	6550600
2024-06-07	72.155434	73.696358	71.791740	72.318138	10059500
2024-06-10	73.667641	73.753776	71.638596	72.231997	11218500
2024-06-11	69.619118	72.088426	68.480179	72.069287	22781500
2024-06-12	69.159729	70.777216	68.336626	70.624084	13930500
2024-06-13	70.040245	70.557077	69.255427	69.446843	10023200
2024-06-14	69.925392	70.384801	69.274567	69.638268	6568500
2024-06-17	69.207565	70.250803	69.092719	69.609551	8445300
2024-06-18	67.417816	67.561375	66.010884	66.135304	29169800
2024-06-20	69.351143	69.762694	67.752795	67.953784	14857200
2024-06-21	69.686119	70.528368	68.977870	70.212525	19465500
2024-06-24	70.681503	71.073916	69.150152	69.389426	12063700
2024-06-25	69.848831	70.576218	69.284141	70.413514	10753200
2024-06-26	70.222099	70.451800	68.834306	69.676555	11481500
2024-06-27	70.557083	71.198335	70.088108	70.461375	9824500
2024-06-28	67.771927	70.164666	66.862689	70.068957	23935600
2024-07-01	66.900978	68.556749	66.556423	68.394045	11036400
2024-07-02	67.446518	67.570938	66.403280	66.996682	9415200
