source_name,ALSAN RS COLOR ADDITIVE
source_url,https://www.soprema.ca/en/products-systems/alsan-rs-color-additive

14 Products,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid,Format
ALSAN RS COLOR ADDITIVE Product code: AC-106,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). Data unavailable,Length 10.8 cm (4.25 in),Width 10.8 cm (4.25 in),Thickness 12.5 cm (4.92 in),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 1.538 kg (3.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Beige,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 18,Format
ALSAN RS COLOR ADDITIVE Product code: AC-102,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). Data unavailable,Length 10.8 cm (4.25 in),Width 10.8 cm (4.25 in),Thickness 12.5 cm (4.92 in),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 1.538 kg (3.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Light Grey,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 18,Format
ALSAN RS COLOR ADDITIVE Product code: AC-109,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). Data unavailable,Length 10.8 cm (4.25 in),Width 10.8 cm (4.25 in),Thickness 12.5 cm (4.92 in),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 1.538 kg (3.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Pale Green,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 18,Format
ALSAN RS COLOR ADDITIVE Product code: AC-103,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). Data unavailable,Length 10.8 cm (4.25 in),Width 10.8 cm (4.25 in),Thickness 12.5 cm (4.92 in),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 1.538 kg (3.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Pebble Grey,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 18,Format
ALSAN RS COLOR ADDITIVE Product code: AC-101,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). Data unavailable,Length 10.8 cm (4.25 in),Width 10.8 cm (4.25 in),Thickness 12.5 cm (4.92 in),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 1.538 kg (3.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Signal White,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 18,Format
ALSAN RS COLOR ADDITIVE Product code: AC-105,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). Data unavailable,Length 10.8 cm (4.25 in),Width 10.8 cm (4.25 in),Thickness 12.5 cm (4.92 in),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 1.538 kg (3.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Stone Grey,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 180,Format
ALSAN RS COLOR ADDITIVE Product code: AC-107,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). Data unavailable,Length 10.8 cm (4.25 in),Width 10.8 cm (4.25 in),Thickness 12.5 cm (4.92 in),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 1.538 kg (3.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Terracotta,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 18,Format
ALSAN RS COLOR ADDITIVE Product code: AC-113,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). Data unavailable,Length 10.8 cm (4.25 in),Width 10.8 cm (4.25 in),Thickness 12.5 cm (4.92 in),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 1.538 kg (3.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Traffic Black,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 180,Format
ALSAN RS COLOR ADDITIVE Product code: AC-111,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). Data unavailable,Length 10.8 cm (4.25 in),Width 10.8 cm (4.25 in),Thickness 12.5 cm (4.92 in),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 1.538 kg (3.39 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Traffic Blue,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 18,Format
