# The Progressive Corporation (PGR) daily historical prices from Yahoo Finance
# Generated on: 2026-02-17T15:42:34
# Period: Last 2 years from today
Price	Close	High	Low	Open	Volume
Ticker	PGR	PGR	PGR	PGR	PGR
Date					
2024-02-20	174.364151	176.637107	173.922447	174.502193	2497900
2024-02-21	175.072708	176.057355	172.808950	175.081905	2253100
2024-02-22	176.397842	176.968377	174.152492	175.514421	1997700
2024-02-23	176.038956	177.235250	175.321182	176.535871	1826500
2024-02-26	178.137070	178.219887	176.066564	176.821141	2194200
2024-02-27	176.848740	178.477541	174.529784	178.183076	2502700
2024-02-28	176.710709	177.962214	176.204582	177.354863	2533600
2024-02-29	174.437744	177.014375	173.738379	176.793516	4203700
2024-03-01	172.845795	174.989920	172.026795	174.106498	3677500
2024-03-04	174.143311	174.686240	172.376481	172.781368	2931000
2024-03-05	174.667816	175.652463	174.290521	174.373352	2445800
2024-03-06	180.373199	180.640072	175.762880	177.971413	3431500
2024-03-07	180.474442	181.229032	178.394739	180.364019	2964900
2024-03-08	182.581741	183.106262	178.974463	179.563406	2803500
2024-03-11	181.044968	182.443699	179.839462	182.388488	2178200
2024-03-12	183.069489	183.189122	179.968336	181.284251	1515100
2024-03-13	183.805634	183.925253	181.992790	183.704408	2101400
2024-03-14	185.765717	186.529505	183.621592	185.544872	3537800
2024-03-15	188.535645	189.409855	183.649254	183.649254	5740500
2024-03-18	189.943573	190.670544	187.790251	188.250363	2289900
2024-03-19	189.096954	191.287079	187.891448	190.974206	2024900
2024-03-20	189.308609	190.357665	188.351568	188.646046	1729900
2024-03-21	189.170547	190.670504	187.302479	188.185901	3418700
2024-03-22	189.290192	190.854571	188.866896	189.428234	2557900
2024-03-25	189.584641	190.385231	188.333135	189.409796	3491700
2024-03-26	188.323944	191.222660	188.001874	189.372999	3546200
2024-03-27	189.704269	189.842312	187.965046	188.793256	3509100
2024-03-28	190.320862	191.581565	189.925158	190.698143	3163400
2024-04-01	193.201141	193.293169	189.492638	190.661327	2324300
2024-04-02	193.274750	193.900510	192.280906	193.210341	1919100
2024-04-03	194.048126	194.950372	192.970952	193.606198	2526800
2024-04-04	192.639496	195.401484	191.838510	194.443987	2581400
2024-04-05	194.259872	195.226571	192.676331	193.560174	3035900
2024-04-08	193.698257	194.223042	192.142335	193.983661	2793700
2024-04-09	188.560974	194.305916	187.990168	193.854786	2662100
2024-04-10	189.794632	190.660057	187.087895	187.769177	2367300
2024-04-11	186.213272	190.660076	186.056761	189.886722	3896400
2024-04-12	187.723160	192.878878	187.133936	191.497883	5368000
2024-04-15	190.199753	192.216007	188.855593	191.276927	3841900
2024-04-16	191.820114	193.910009	190.319429	191.184855	2916800
2024-04-17	192.529022	193.366829	191.120409	192.492202	3554600
2024-04-18	193.109024	193.385226	191.516281	192.749966	2116500
2024-04-19	197.657089	198.108205	193.836330	194.167770	4191500
2024-04-22	196.101181	199.056515	195.981490	197.997744	2732400
2024-04-23	197.040268	198.145061	195.511964	196.773268	2576100
2024-04-24	195.364670	198.034601	193.145869	196.846938	2633200
2024-04-25	193.403641	195.465916	192.492180	195.309405	1882500
2024-04-26	191.525513	193.256364	189.196237	192.427758	2628700
2024-04-29	190.273392	191.525494	188.956851	191.497875	2691600
2024-04-30	191.728043	194.057319	189.840681	190.429905	3578400
2024-05-01	194.996399	196.782487	191.939791	192.565850	2360600
2024-05-02	192.446152	195.898637	191.792489	194.950356	2023100
2024-05-03	192.160751	192.657903	188.413647	191.313743	2150800
2024-05-06	198.412064	198.439682	192.483006	192.611898	2644700
2024-05-07	198.366028	199.167000	196.340558	199.167000	2706200
2024-05-08	198.771103	200.492752	198.743484	199.286686	1840000
2024-05-09	196.764069	198.062207	196.579939	197.528220	1923300
2024-05-10	198.642212	198.955248	196.773267	197.380908	2128400
2024-05-13	195.558014	200.382279	195.558014	199.323522	1549300
2024-05-14	196.718033	197.380911	194.729398	195.281801	1777000
2024-05-15	192.648712	196.312947	190.623257	190.908660	3641800
2024-05-16	190.586411	194.637335	189.325107	193.329996	3419000
2024-05-17	192.621094	193.044591	190.835005	192.703950	2005000
2024-05-20	190.558807	192.888083	190.485153	192.418550	2172500
2024-05-21	192.768402	194.517656	191.304537	191.488681	2669100
2024-05-22	189.969574	193.219513	189.960372	192.777599	1684000
2024-05-23	187.060272	191.009924	186.912977	189.426382	2469300
2024-05-24	187.732361	188.680642	186.848518	187.318065	1721200
2024-05-28	188.901611	189.343540	186.756479	186.876156	2876200
2024-05-29	187.032669	188.772721	185.771365	188.211116	3075800
2024-05-30	190.512772	190.678498	186.986645	187.032667	2589000
2024-05-31	194.425583	194.582108	190.779766	190.991514	4520600
2024-06-03	192.768402	194.950369	190.733731	194.683383	1827300
2024-06-04	195.152908	195.567204	192.068682	192.308063	2768600
